,gameid,GameDate,ab,pitchnum,inning,teambat,balls,strikes,outs,pitcher,pitcherthrows,batter,batterside,pitchresult,pitchresult_desc,eventtype,pitchname,pitchname_desc,spinrate,relspeed,horzbreak,inducedvertbreak,platelocside,platelocheight,hometeam_id,Home,awayteam_id,Visitor,venue_id,venue_name
1310,2023/04/02/clemlb-seamlb-1,4/2/2023 20:10,71,1,9.0,0,0.0,0.0,1.0,"Sewald, Paul",R,"Viloria, Meibrys",L,C,Strike - Called,called_strike,FF,Four-seam FB,2341.498291,88.89134216,13.60315323,14.8991394,0.533590257,2.059589148,136,Seattle Mariners,114,Cleveland Guardians,680,T-Mobile Park
1314,2023/04/02/clemlb-seamlb-1,4/2/2023 20:10,70,4,9.0,0,1.0,2.0,0.0,"Sewald, Paul",R,"Gimenez, Andres",L,X,Hit Into Play - Out(s),field_out,FF,Four-seam FB,2474.210693,90.37023163,13.6807251,13.43042183,-1.069366336,3.414090395,136,Seattle Mariners,114,Cleveland Guardians,680,T-Mobile Park
1315,2023/04/02/clemlb-seamlb-1,4/2/2023 20:10,71,2,9.0,0,0.0,1.0,1.0,"Sewald, Paul",R,"Viloria, Meibrys",L,B,Ball - Called,ball,ST,Sweeper,2374.091064,81.977005,-12.22684765,9.942940712,1.727913857,0.9701702,136,Seattle Mariners,114,Cleveland Guardians,680,T-Mobile Park
1316,2023/04/02/clemlb-seamlb-1,4/2/2023 20:10,71,3,9.0,0,1.0,1.0,1.0,"Sewald, Paul",R,"Viloria, Meibrys",L,B,Ball - Called,ball,FF,Four-seam FB,2383.366699,90.59380341,12.89279175,15.83387756,0.7787835,2.412503481,136,Seattle Mariners,114,Cleveland Guardians,680,T-Mobile Park
1317,2023/04/02/clemlb-seamlb-1,4/2/2023 20:10,71,4,9.0,0,2.0,1.0,1.0,"Sewald, Paul",R,"Viloria, Meibrys",L,B,Ball - Called,ball,FF,Four-seam FB,2410.877441,90.76860809,13.09537125,15.29270172,0.734793842,1.888979435,136,Seattle Mariners,114,Cleveland Guardians,680,T-Mobile Park
1318,2023/04/02/clemlb-seamlb-1,4/2/2023 20:10,71,5,9.0,0,3.0,1.0,1.0,"Sewald, Paul",R,"Viloria, Meibrys",L,X,Hit Into Play - Out(s),field_out,FF,Four-seam FB,2418.120605,91.13448334,14.73230553,14.49317837,0.39734602,1.913228154,136,Seattle Mariners,114,Cleveland Guardians,680,T-Mobile Park
1319,2023/04/02/clemlb-seamlb-1,4/2/2023 20:10,72,1,9.0,0,0.0,0.0,2.0,"Sewald, Paul",R,"Straw, Myles",R,C,Strike - Called,called_strike,FF,Four-seam FB,2440.227051,91.1614151,13.76401901,15.77157402,0.227797076,2.187371492,136,Seattle Mariners,114,Cleveland Guardians,680,T-Mobile Park
1320,2023/04/02/clemlb-seamlb-1,4/2/2023 20:10,72,2,9.0,0,0.0,1.0,2.0,"Sewald, Paul",R,"Straw, Myles",R,B,Ball - Called,ball,ST,Sweeper,2512.583496,81.12989807,-14.56535053,8.575896263,1.884817243,1.025646567,136,Seattle Mariners,114,Cleveland Guardians,680,T-Mobile Park
1321,2023/04/02/clemlb-seamlb-1,4/2/2023 20:10,72,3,9.0,0,1.0,1.0,2.0,"Sewald, Paul",R,"Straw, Myles",R,B,Ball - Called,ball,ST,Sweeper,2611.569092,82.28029633,-13.27502346,10.79858398,1.988088012,1.30725944,136,Seattle Mariners,114,Cleveland Guardians,680,T-Mobile Park
1322,2023/04/02/clemlb-seamlb-1,4/2/2023 20:10,72,4,9.0,0,2.0,1.0,2.0,"Sewald, Paul",R,"Straw, Myles",R,B,Ball - Called,ball,FF,Four-seam FB,2479.326904,91.8972702,13.6289444,14.28085709,0.94567728,1.822891951,136,Seattle Mariners,114,Cleveland Guardians,680,T-Mobile Park
1323,2023/04/02/clemlb-seamlb-1,4/2/2023 20:10,72,5,9.0,0,3.0,1.0,2.0,"Sewald, Paul",R,"Straw, Myles",R,B,Ball - Called,walk,FF,Four-seam FB,2464.072754,91.46245575,14.32050133,14.02781105,1.070485353,2.839464426,136,Seattle Mariners,114,Cleveland Guardians,680,T-Mobile Park
1324,2023/04/02/clemlb-seamlb-1,4/2/2023 20:10,73,1,9.0,0,0.0,0.0,2.0,"Sewald, Paul",R,"Kwan, Steven",L,B,Ball - Called,ball,FF,Four-seam FB,2446.715576,91.78147888,15.80252457,14.99831772,-1.240765691,2.838797092,136,Seattle Mariners,114,Cleveland Guardians,680,T-Mobile Park
1325,2023/04/02/clemlb-seamlb-1,4/2/2023 20:10,73,2,9.0,0,1.0,0.0,2.0,"Sewald, Paul",R,"Kwan, Steven",L,B,Ball - Called,ball,FF,Four-seam FB,2428.011963,91.00047302,13.15613747,15.07104874,0.922437847,1.963678598,136,Seattle Mariners,114,Cleveland Guardians,680,T-Mobile Park
1326,2023/04/02/clemlb-seamlb-1,4/2/2023 20:10,73,3,9.0,0,2.0,0.0,2.0,"Sewald, Paul",R,"Kwan, Steven",L,C,Strike - Called,stolen_base_2b,ST,Sweeper,2324.571289,83.31932831,-10.7266922,8.566679001,0.462164402,2.163613081,136,Seattle Mariners,114,Cleveland Guardians,680,T-Mobile Park
1327,2023/04/02/clemlb-seamlb-1,4/2/2023 20:10,73,4,9.0,0,2.0,1.0,2.0,"Sewald, Paul",R,"Kwan, Steven",L,F,Strike - Foul,foul,FF,Four-seam FB,2547.931396,92.42848206,16.14188957,15.41910744,-0.405281872,3.227124929,136,Seattle Mariners,114,Cleveland Guardians,680,T-Mobile Park
1328,2023/04/02/clemlb-seamlb-1,4/2/2023 20:10,73,5,9.0,0,2.0,2.0,2.0,"Sewald, Paul",R,"Kwan, Steven",L,X,Hit Into Play - Out(s),field_out,ST,Sweeper,2468.627686,83.44063568,-9.456531525,11.75982094,-0.326599926,2.677534342,136,Seattle Mariners,114,Cleveland Guardians,680,T-Mobile Park
1399,2023/04/02/tormlb-slnmlb-1,4/2/2023 18:15,71,1,8.0,1,0.0,0.0,0.0,"Mayza, Tim",L,"Donovan, Brendan",L,C,Strike - Called,called_strike,SI,Sinker,1951.735962,93.23317719,-18.84629822,10.39328575,0.122319728,2.421862364,138,St. Louis Cardinals,141,Toronto Blue Jays,2889,Busch Stadium
1400,2023/04/02/tormlb-slnmlb-1,4/2/2023 18:15,71,2,8.0,1,0.0,1.0,0.0,"Mayza, Tim",L,"Donovan, Brendan",L,X,Hit Into Play - Out(s),field_out,SI,Sinker,1987.863647,93.87017822,-18.33129883,11.82346916,0.593495011,2.714968681,138,St. Louis Cardinals,141,Toronto Blue Jays,2889,Busch Stadium
1401,2023/04/02/tormlb-slnmlb-1,4/2/2023 18:15,72,1,8.0,1,0.0,0.0,1.0,"Mayza, Tim",L,"O'Neill, Tyler",R,X,Hit Into Play - Out(s),field_out,SI,Sinker,2024.0,93.53305054,-15.77750874,9.644762039,0.025772754,2.039579391,138,St. Louis Cardinals,141,Toronto Blue Jays,2889,Busch Stadium
1402,2023/04/02/tormlb-slnmlb-1,4/2/2023 18:15,73,1,8.0,1,0.0,0.0,2.0,"Mayza, Tim",L,"Goldschmidt, Paul",R,C,Strike - Called,called_strike,SI,Sinker,1101.991577,93.15052795,-15.62033558,10.68241405,0.821386039,1.731897354,138,St. Louis Cardinals,141,Toronto Blue Jays,2889,Busch Stadium
1403,2023/04/02/tormlb-slnmlb-1,4/2/2023 18:15,73,2,8.0,1,0.0,1.0,2.0,"Mayza, Tim",L,"Goldschmidt, Paul",R,B,Ball - Called,ball,SI,Sinker,2033.668335,93.69827271,-15.38207817,13.31406403,-1.003743649,3.72755456,138,St. Louis Cardinals,141,Toronto Blue Jays,2889,Busch Stadium
1404,2023/04/02/tormlb-slnmlb-1,4/2/2023 18:15,73,3,8.0,1,1.0,1.0,2.0,"Mayza, Tim",L,"Goldschmidt, Paul",R,B,Ball - Called,ball,SL,Slider,2179.103027,85.14307404,-0.488485038,0.849511981,-0.68804431,0.811675727,138,St. Louis Cardinals,141,Toronto Blue Jays,2889,Busch Stadium
1405,2023/04/02/tormlb-slnmlb-1,4/2/2023 18:15,73,4,8.0,1,2.0,1.0,2.0,"Mayza, Tim",L,"Goldschmidt, Paul",R,D,Hit Into Play - No Out(s),single,SI,Sinker,1998.050293,92.56381989,-16.65435791,7.992007256,0.639123678,1.671901941,138,St. Louis Cardinals,141,Toronto Blue Jays,2889,Busch Stadium
1406,2023/04/02/tormlb-slnmlb-1,4/2/2023 18:15,74,1,8.0,1,0.0,0.0,2.0,"Mayza, Tim",L,"Arenado, Nolan",R,S,Strike - Swinging,swinging_strike,SI,Sinker,1948.023438,93.83215332,-17.30802536,9.063097954,0.807170868,1.096662998,138,St. Louis Cardinals,141,Toronto Blue Jays,2889,Busch Stadium
1407,2023/04/02/tormlb-slnmlb-1,4/2/2023 18:15,74,2,8.0,1,0.0,1.0,2.0,"Mayza, Tim",L,"Arenado, Nolan",R,B,Ball - Called,ball,SI,Sinker,1110.582153,94.16687775,-14.30134106,10.44910336,1.209103227,3.185366154,138,St. Louis Cardinals,141,Toronto Blue Jays,2889,Busch Stadium
1408,2023/04/02/tormlb-slnmlb-1,4/2/2023 18:15,74,3,8.0,1,1.0,1.0,2.0,"Mayza, Tim",L,"Arenado, Nolan",R,F,Strike - Foul,foul,SI,Sinker,1978.115723,94.00431061,-19.1705265,8.244419098,0.289321572,1.70222342,138,St. Louis Cardinals,141,Toronto Blue Jays,2889,Busch Stadium
1409,2023/04/02/tormlb-slnmlb-1,4/2/2023 18:15,74,4,8.0,1,1.0,2.0,2.0,"Mayza, Tim",L,"Arenado, Nolan",R,*B,Ball - Ball In Dirt,blocked_ball,SL,Slider,2213.548096,87.15465546,0.927394152,-0.069947481,-0.77624619,0.253069073,138,St. Louis Cardinals,141,Toronto Blue Jays,2889,Busch Stadium
